associated_gene,totalN,novelN
A1BG,32,18
A1BG_LLNLR-245B6.1,1,1
A1BG-AS1,85,44
A1CF,2,1
A2M,222,169
A2M-AS1,27,7
A2ML1,52,32
A2ML1-AS1,5,5
A2ML1-AS2,1,1
A2MP1,11,11
A3GALT2,1,1
A4GALT,16,4
A4GNT_DBR1,1,1
AA06,2,2
AAAS,312,258
AACS,287,185
AACSP1,11,8
AACSP1_ZNF354A,1,1
AADAC,1,1
AADAT,205,123
AAGAB,202,130
AAK1,221,44
AAMDC,101,71
AAMP,268,223
AANAT,6,5
AAR2,127,54
AARD,16,6
AARS1,471,350
AARS2,145,41
AARSD1,267,213
AARSD1P1,11,11
AASDH,196,120
AASDHPPT,255,177
AASS,108,42
AATBC,9,7
AATF,87,57
AATF_RP11-333J10.3,1,1
AATK,58,35
AB015752.3,3,3
AB019441.29,8,1
ABALON,4,3
ABAT,469,262
ABAT_PMM2,2,2
ABBA01000934.1,7,4
ABC10-43608400O15.1,29,26
ABC10-44372100G24.1,4,2
ABC12-46663800M24.2,60,54
ABC7-42404400C24.1,48,17
ABC7-42418200C9.1,1,1
ABCA1,138,32
ABCA10,48,25
ABCA11P,119,69
ABCA12,8,3
ABCA17P,50,31
ABCA2,104,57
ABCA3,130,71
ABCA4,13,9
ABCA5,271,114
ABCA5_ABCA10,5,5
ABCA6,31,14
ABCA7,100,35
ABCA8,49,11
ABCA9,31,6
ABCA9-AS1,1,1
ABCB1,93,32
ABCB10,85,21
ABCB11,1,1
ABCB4,29,16
ABCB5,4,4
ABCB6,181,123
ABCB7,182,72
ABCB8,218,82
ABCB9,91,57
ABCC1,60,9
ABCC10,147,69
ABCC11,10,6
ABCC12,71,28
ABCC13,6,2
ABCC2,3,2
ABCC3,7,3
ABCC4,62,12
ABCC5,215,82
ABCC5-AS1,4,4
ABCC6,11,6
ABCC6P1,16,3
ABCC6P2,4,2
ABCC8,106,73
ABCC9,94,8
ABCD1,39,8
ABCD2,162,23
ABCD3,288,161
ABCD4,360,269
ABCE1,451,193
ABCF1,97,20
ABCF2,206,118
ABCF2-H2BE1,19,16
ABCF2P2,2,2
ABCF3,320,234
ABCF3_AP2M1,1,1
ABCG1,73,16
ABCG2,223,102
ABCG4,79,21
ABCG5,19,17
ABHD1,19,9
ABHD10,201,89
ABHD11,99,62
ABHD11-AS1,1,1
ABHD12,279,254
ABHD12B,75,36
ABHD13,189,53
ABHD14A,156,108
ABHD14A_ACY1,9,9
ABHD14A-ACY1,34,27
ABHD14A-ACY1_ACY1,2,2
ABHD14B,46,28
ABHD14B_PCBP4,1,1
ABHD16A,58,36
ABHD16A_LY6G5C,1,1
ABHD17A,89,68
ABHD17AP1,13,10
ABHD17AP3,6,6
ABHD17AP4,7,4
ABHD17AP5,1,1
ABHD17AP6,22,18
ABHD17B,104,51
ABHD17C,67,12
ABHD18,151,85
ABHD2,235,53
ABHD3,102,68
ABHD4,74,15
ABHD5,196,33
ABHD6,187,115
ABHD8,31,24
ABI1,577,289
ABI1P1,1,1
ABI2,553,242
ABI3,30,3
ABI3BP,33,6
ABITRAM,187,137
ABL1,125,22
ABL2,89,13
ABLIM1,182,82
ABLIM2,276,242
ABLIM3,203,152
ABO,13,4
ABR,128,70
ABRA,4,1
ABRACL,111,91
ABRAXAS1,179,108
ABRAXAS2,173,81
ABT1,102,43
ABTB1,311,236
ABTB2,36,6
AC000032.2,6,6
AC000035.3,2,2
AC000068.10_AC000068.5,1,1
AC000068.5,27,8
AC000068.9_AC000068.10_AC000068.5,1,1
AC000068.9_AC000068.5,2,2
AC000082.4,4,4
AC000085.4,3,3
AC000120.7,16,16
AC000370.2,2,2
AC002056.3,8,1
AC002059.11,1,1
AC002059.11_RFPL1,2,2
AC002064.4,1,1
AC002064.5,1,1
AC002066.1,1,1
AC002116.7,21,20
AC002116.8,3,1
AC002116.8_SYNE4,2,1
AC002117.1,50,49
AC002117.1_AC142472.6,1,1
AC002127.4,2,2
AC002128.5,1,1
AC002310.10,4,4
AC002310.10_ZNF747,1,1
AC002310.11,22,21
AC002310.12,44,23
AC002310.7,12,9
AC002331.2,8,3
AC002383.2,4,3
AC002398.11,6,6
AC002398.13,4,4
AC002398.9,11,9
AC002401.1,7,7
AC002451.3,10,4
AC002456.2,14,5
AC002463.3,7,7
AC002467.7,74,49
AC002472.16_TUBA3FP,1,1
AC002472.17,1,1
AC002472.8,16,16
AC002480.3,9,5
AC002480.4,4,3
AC002480.4_AC002480.3,6,6
AC002519.6,2,2
AC002543.2,9,7
AC002550.5,8,8
AC002550.5_IQCK,4,4
AC002550.6,15,1
AC002984.2,4,2
AC002985.3,4,4
AC003002.4,2,2
AC003002.6,22,21
AC003002.6_ZNF749,2,2
AC003005.2,5,4
AC003005.2_ZNF749,3,3
AC003005.4,4,4
AC003005.4_ZNF773,1,1
AC003006.7,5,4
AC003009.1,1,1
AC003075.4,34,14
AC003088.1,2,2
AC003090.1,12,2
AC003682.16,2,2
AC003973.4,3,3
AC003986.5,2,2
AC003986.7,2,2
AC003988.1,2,2
AC004012.1,1,1
AC004019.13,12,9
AC004054.1,11,11
AC004057.1,27,23
AC004063.1,1,1
AC004067.6,1,1
AC004069.2,8,7
AC004076.7,10,7
AC004076.9,31,30
AC004112.4,3,3
AC004129.7,1,1
AC004156.3,5,1
AC004158.3,348,48
AC004160.4,7,7
AC004160.4_AC004538.3,11,11
AC004231.2,1,1
AC004237.1,47,47
AC004257.1,3,3
AC004381.8,3,3
AC004471.10,2,1
AC004485.3,1,1
AC004538.3,8,8
AC004540.4,77,40
AC004540.5,193,125
AC004540.5_RP5-1007F24.1,31,31
AC004623.2,4,4
AC004623.3,18,8
AC004691.5,1,1
AC004692.4,10,10
AC004800.1,23,14
AC004862.6,7,4
AC004862.6_AC003988.1,1,1
AC004870.4,1,1
AC004878.2,10,10
AC004878.8,3,3
AC004878.8_AC004878.2,6,6
AC004895.4,1,1
AC004941.3,2,2
AC004951.5,7,4
AC004951.5_AC004985.12,2,2
AC004951.6,3,2
AC004967.7,21,19
AC004967.7_ASNS,6,6
AC004967.7_RP5-1090P18.2,2,2
AC004980.7,49,34
AC004985.12,16,16
AC005009.1,7,2
AC005013.5,9,6
AC005013.5_CTB-113D17.1,18,18
AC005037.3,89,88
AC005037.3_NDUFB3,7,7
AC005041.11,1,1
AC005062.2,16,8
AC005076.5,31,15
AC005082.12,20,1
AC005104.3,23,23
AC005150.1,12,4
AC005162.5,3,3
AC005197.2,3,3
AC005220.3,19,10
AC005253.2,8,6
AC005253.4,4,4
AC005255.3,5,2
AC005262.2,17,17
AC005262.2_AC005262.3,14,14
AC005281.1,2,1
AC005301.9,20,8
AC005306.3,43,7
AC005307.1,2,1
AC005307.5,2,1
AC005324.8,17,12
AC005324.8_TBC1D26,1,1
AC005329.7,25,17
AC005330.2,5,4
AC005339.2,1,1
AC005339.2_MYDGF,4,3
AC005355.1,2,2
AC005355.3,4,2
AC005387.2,1,1
AC005387.2_AC005387.3,1,1
AC005481.5,4,2
AC005487.2,11,8
AC005488.11,11,11
AC005488.11_PMS2P7,1,1
AC005519.4,4,2
AC005522.7,2,2
AC005523.2,23,18
AC005523.3,8,4
AC005532.5,9,4
AC005537.2,30,27
AC005540.3_STAT1,1,1
AC005546.2,1,1
AC005550.3,1,1
AC005562.1,160,110
AC005562.1_LRRC37BP1,7,7
AC005562.1_SMURF2P1,1,1
AC005562.1_SUZ12P1,1,1
AC005578.3,3,1
AC005592.3_SPRY4-AS1,4,4
AC005597.1,1,1
AC005606.14,17,14
AC005609.16,52,50
AC005609.17,7,5
AC005609.18,7,2
AC005609.20_AC005609.18,1,1
AC005614.5,3,3
AC005618.10,8,7
AC005618.6,32,2
AC005618.6_PCDHGA1,1,1
AC005618.6_PCDHGB6,1,1
AC005740.5,1,1
AC005740.7,44,41
AC005752.10,16,16
AC005753.3,26,19
AC005754.7,9,8
AC005754.8,56,2
AC005757.6,1,1
AC005758.1,4,4
AC005758.1_CTC-459F4.3,21,21
AC005785.2,4,1
AC005786.7,7,7
AC005792.1,1,1
AC005914.1,6,2
AC005943.2,4,4
AC005944.2,10,9
AC005954.4,1,1
AC006000.5,5,5
AC006007.1,10,5
AC006014.7,8,8
AC006014.8,13,13
AC006019.3,9,9
AC006019.4,3,3
AC006042.6,16,16
AC006042.6_AC007009.1,2,2
AC006042.8,29,22
AC006050.2,9,6
AC006115.7,220,88
AC006116.12,8,8
AC006116.21,3,3
AC006116.22,1,1
AC006116.28,17,4
AC006128.2,5,2
AC006129.2,8,5
AC006130.3,8,8
AC006130.5,7,6
AC006150.1,3,3
AC006160.5,12,9
AC006262.4,2,2
AC006262.6,28,12
AC006262.6_AC007193.6_IGFL1P1,1,1
AC006272.2,1,1
AC006273.4,3,2
AC006277.2,23,15
AC006277.2_ZNF77,11,11
AC006296.4,7,6
AC006369.2,31,31
AC006372.4,2,2
AC006372.4_DNAJB6,4,4
AC006380.3,2,2
AC006427.4,5,2
AC006427.4_TAPT1-AS1,7,7
AC006445.7,1,1
AC006460.2,33,33
AC006486.14,1,1
AC006538.1,27,18
AC006538.1_SLC39A3,4,4
AC006538.4,4,4
AC006538.9,1,1
AC006539.2,4,4
AC006539.3,1,1
AC006547.13,26,25
AC006547.13_AC006547.15,6,6
AC006547.15,18,18
AC006547.8,20,19
AC006547.8_TRMT2A,6,4
AC006942.4,12,11
AC006946.16,22,5
AC006946.16_CECR7,17,17
AC006947.1,1,1
AC006994.2,3,1
AC007009.1,22,12
AC007036.4,2,2
AC007036.5,30,26
AC007036.5_MTURN,10,10
AC007036.6,10,10
AC007040.11,13,10
AC007040.6,1,1
AC007050.17,3,3
AC007078.4,7,7
AC007098.1,3,3
AC007106.2,2,2
AC007128.1_AC006042.6,2,2
AC007128.1_AC007009.1,2,2
AC007192.4,33,21
AC007193.10,7,7
AC007193.6,2,2
AC007193.9,14,14
AC007204.3,1,1
AC007238.1,25,4
AC007255.8,3,3
AC007277.3,1,1
AC007283.5_CFLAR,1,1
AC007285.7,4,4
AC007292.3,3,1
AC007292.4,1,1
AC007292.6,37,20
AC007308.7,1,1
AC007319.1,7,7
AC007326.9,1,1
AC007349.4,2,2
AC007359.6,1,1
AC007362.3,1,1
AC007365.3,7,6
AC007383.3,38,30
AC007383.4,86,85
AC007389.3,1,1
AC007391.2,2,2
AC007395.3,5,5
AC007405.4,33,14
AC007405.6,63,10
AC007405.6_ERICH2,23,23
AC007405.8,43,33
AC007405.8_AC007405.4,4,4
AC007491.1,1,1
AC007557.3,3,3
AC007559.1,13,2
AC007562.1,3,3
AC007563.3,1,1
AC007563.5,13,11
AC007566.10,111,79
AC007566.10_GATAD1,13,1
AC007618.3,3,2
AC007620.3,46,43
AC007666.5,28,28
AC007679.3,3,3
AC007682.1,4,4
AC007743.1,10,6
AC007750.5,10,7
AC007879.1,4,4
AC007879.1_AC007879.4,3,3
AC007879.4,1,1
AC007879.5,1,1
AC007950.1,1,1
AC007952.4,2,1
AC008060.7,9,1
AC008060.8,1,1
AC008067.2,165,165
AC008069.1,12,5
AC008073.7,2,2
AC008073.9,2,2
AC008079.12,15,11
AC008088.4,18,7
AC008132.13,7,4
AC008269.2,34,25
AC008269.2_FASTKD2,4,4
AC008277.1,29,29
AC008278.2,1,1
AC008440.5,10,9
AC008592.5,1,1
AC008592.7,1,1
AC008694.2,1,1
AC008697.1,9,7
AC008781.7,3,2
AC008850.3,2,2
AC008937.2,7,7
AC008982.2,2,2
AC008984.5,1,1
AC008992.1,18,18
AC008993.3,13,6
AC009052.12,1,1
AC009052.12_COQ9,20,5
AC009052.12_POLR2C,4,1
AC009095.4,12,12
AC009120.10,5,5
AC009120.3,6,5
AC009120.5,14,14
AC009120.6,87,20
AC009133.12,43,31
AC009133.15,2,2
AC009133.15_AC009133.12,6,6
AC009133.15_AC009133.21,5,5
AC009133.23,16,14
AC009133.23_AC009133.24,9,8
AC009133.23_MAZ,2,2
AC009133.23_MVP,3,3
AC009133.23_PAGR1_MVP,1,1
AC009133.24,9,9
AC009134.1,4,4
AC009158.1,1,1
AC009166.9,3,2
