sampleID,geneName,isoform,counts,group,sex
38,ADD3,ONT10_4920_231,132.8396867,Postnatal,F
40,ADD3,ONT10_4920_231,91.20365247,Postnatal,M
13,ADD3,ONT10_4920_231,0,Prenatal,M
19,ADD3,ONT10_4920_231,14.83766113,Postnatal,M
45,ADD3,ONT10_4920_231,4.732756947,Postnatal,M
30,ADD3,ONT10_4920_231,0,Postnatal,F
29,ADD3,ONT10_4920_231,0,Prenatal,F
28,ADD3,ONT10_4920_231,0,Prenatal,M
31,ADD3,ONT10_4920_231,1.398623343,Prenatal,M
39,ADD3,ONT10_4920_231,1.826461512,Postnatal,F
32,ADD3,ONT10_4920_231,0,Prenatal,F
7,ADD3,ONT10_4920_231,3.173586357,Prenatal,F
23,ADD3,ONT10_4920_231,2.436262672,Postnatal,F
14,ADD3,ONT10_4920_231,0,Prenatal,M
9,ADD3,ONT10_4920_231,1.310687,Prenatal,F
8,ADD3,ONT10_4920_231,0,Prenatal,M
2,ADD3,ONT10_4920_231,0.75727516,Prenatal,F
12,ADD3,ONT10_4920_231,0,Prenatal,F
22,ADD3,ONT10_4920_231,13.90085613,Postnatal,M
6,ADD3,ONT10_4920_231,2.56819041,Prenatal,F
41,ADD3,ONT10_4920_231,0,Postnatal,F
33,ADD3,ONT10_4920_231,0,Prenatal,F
4,ADD3,ONT10_4920_231,1.225545686,Prenatal,M
37,ADD3,ONT10_4920_231,30.41724764,Postnatal,M
20,ADD3,ONT10_4920_231,100.5208181,Postnatal,F
1,ADD3,ONT10_4920_231,6.166323213,Prenatal,M
27,ADD3,ONT10_4920_231,1.147592025,Prenatal,F
36,ADD3,ONT10_4920_231,0,Prenatal,F
42,ADD3,ONT10_4920_231,4.412224447,Prenatal,F
35,ADD3,ONT10_4920_231,0.503745576,Prenatal,F
46,ADD3,ONT10_4920_231,322.3430956,Postnatal,M
17,ADD3,ONT10_4920_231,0.715842972,Prenatal,M
11,ADD3,ONT10_4920_231,0,Prenatal,F
5,ADD3,ONT10_4920_231,0,Prenatal,M
16,ADD3,ONT10_4920_231,0,Prenatal,M
15,ADD3,ONT10_4920_231,0,Prenatal,F
10,ADD3,ONT10_4920_231,7.406809934,Prenatal,M
3,ADD3,ONT10_4920_231,1.407647543,Prenatal,M
26,ADD3,ONT10_4920_231,3.761580719,Prenatal,F
18,ADD3,ONT10_4920_231,0.757440617,Postnatal,F
21,ADD3,ONT10_4920_231,73.80974225,Postnatal,M
24,ADD3,ONT10_4920_231,11.20603695,Postnatal,M
34,ADD3,ONT10_4920_231,0,Postnatal,F
43,ADD3,ONT10_4920_231,1.394999034,Postnatal,F
25,ADD3,ONT10_4920_231,0.545898615,Postnatal,M
44,ADD3,ONT10_4920_231,0,Postnatal,F
47,ADD3,ONT10_4920_231,86.23723432,Postnatal,M
1,ADD3,ONT11_1948_231,12.33264643,Prenatal,M
16,ADD3,ONT11_1948_231,3.83378004,Prenatal,M
5,ADD3,ONT11_1948_231,58.22722676,Prenatal,M
14,ADD3,ONT11_1948_231,0.581503866,Prenatal,M
26,ADD3,ONT11_1948_231,112.8474216,Prenatal,F
9,ADD3,ONT11_1948_231,15.40057225,Prenatal,F
8,ADD3,ONT11_1948_231,0,Prenatal,M
25,ADD3,ONT11_1948_231,27.29493074,Postnatal,M
15,ADD3,ONT11_1948_231,0.315067705,Prenatal,F
24,ADD3,ONT11_1948_231,38.42069811,Postnatal,M
32,ADD3,ONT11_1948_231,9.00532153,Prenatal,F
42,ADD3,ONT11_1948_231,52.94669336,Prenatal,F
34,ADD3,ONT11_1948_231,7.613864397,Postnatal,F
18,ADD3,ONT11_1948_231,56.05060564,Postnatal,F
12,ADD3,ONT11_1948_231,8.715016203,Prenatal,F
17,ADD3,ONT11_1948_231,13.60101646,Prenatal,M
37,ADD3,ONT11_1948_231,321.4550034,Postnatal,M
6,ADD3,ONT11_1948_231,56.50018903,Prenatal,F
38,ADD3,ONT11_1948_232,1651.407052,Postnatal,F
35,ADD3,ONT11_1948_232,0,Prenatal,F
19,ADD3,ONT11_1948_232,303.3477387,Postnatal,M
31,ADD3,ONT11_1948_232,65.73529714,Prenatal,M
41,ADD3,ONT11_1948_232,4.786823494,Postnatal,F
13,ADD3,ONT11_1948_232,0.382358049,Prenatal,M
46,ADD3,ONT11_1948_232,4278.917186,Postnatal,M
3,ADD3,ONT11_1948_232,81.64355752,Prenatal,M
7,ADD3,ONT11_1948_232,66.6453135,Prenatal,F
23,ADD3,ONT11_1948_232,71.46370505,Postnatal,F
22,ADD3,ONT11_1948_232,194.6119859,Postnatal,M
10,ADD3,ONT11_1948_232,105.5470416,Prenatal,M
45,ADD3,ONT11_1948_232,1017.542744,Postnatal,M
39,ADD3,ONT11_1948_232,32.87630722,Postnatal,F
33,ADD3,ONT11_1948_232,0,Prenatal,F
43,ADD3,ONT11_1948_232,4.184997102,Postnatal,F
29,ADD3,ONT11_1948_232,27.08845679,Prenatal,F
27,ADD3,ONT11_1948_232,17.21388038,Prenatal,F
47,ADD3,ONT11_1948_232,1612.47357,Postnatal,M
36,ADD3,ONT11_1948_232,2.258019952,Prenatal,F
28,ADD3,ONT11_1948_232,8.805574173,Prenatal,M
2,ADD3,ONT11_1948_232,17.0386911,Prenatal,F
40,ADD3,ONT11_1948_232,427.517121,Postnatal,M
30,ADD3,ONT11_1948_232,7.08131213,Postnatal,F
44,ADD3,ONT11_1948_232,4.464695671,Postnatal,F
21,ADD3,ONT11_1948_232,665.7070984,Postnatal,M
20,ADD3,ONT11_1948_232,1669.489112,Postnatal,F
4,ADD3,ONT11_1948_232,2.246833757,Prenatal,M
11,ADD3,ONT11_1948_232,0,Prenatal,F
7,HBB,ONT11_386_213,15.86793179,Prenatal,F
8,HBB,ONT11_386_213,17.39175393,Prenatal,M
33,HBB,ONT11_386_213,22.65974857,Prenatal,F
45,HBB,ONT11_386_213,0,Postnatal,M
5,HBB,ONT11_386_213,0,Prenatal,M
19,HBB,ONT11_386_213,0.824314507,Postnatal,M
9,HBB,ONT11_386_213,3.60438925,Prenatal,F
15,HBB,ONT11_386_213,22.99994244,Prenatal,F
29,HBB,ONT11_386_213,6.867496087,Prenatal,F
17,HBB,ONT11_386_213,10.73764457,Prenatal,M
26,HBB,ONT11_386_213,0,Prenatal,F
14,HBB,ONT11_386_213,22.67865076,Prenatal,M
30,HBB,ONT11_386_213,35.40656065,Postnatal,F
13,HBB,ONT11_386_213,13.38253173,Prenatal,M
18,HBB,ONT11_386_213,9.846728019,Postnatal,F
43,HBB,ONT11_386_213,10.113743,Postnatal,F
4,HBB,ONT11_386_213,3.880894671,Prenatal,M
44,HBB,ONT11_386_213,244.07003,Postnatal,F
23,HBB,ONT11_386_213,94.20215666,Postnatal,F
46,HBB,ONT11_386_213,8.995621274,Postnatal,M
25,HBB,ONT11_386_213,6.550783378,Postnatal,M
10,HBB,ONT11_386_213,0,Prenatal,M
27,HBB,ONT11_386_213,0,Prenatal,F
35,HBB,ONT11_386_213,2.518727878,Prenatal,F
42,HBB,ONT11_386_213,8.824448894,Prenatal,F
37,HBB,ONT11_386_213,1.61303586,Postnatal,M
47,HBB,ONT11_386_213,4.338980343,Postnatal,M
12,HBB,ONT11_386_213,0.87150162,Prenatal,F
22,HBB,ONT11_386_213,4.633618711,Postnatal,M
1,HBB,ONT11_386_213,1.233264643,Prenatal,M
41,HBB,ONT11_386_213,191.4729398,Postnatal,F
21,HBB,ONT11_386_213,1.892557494,Postnatal,M
32,HBB,ONT11_386_213,0,Prenatal,F
11,HBB,ONT11_386_213,211.1247207,Prenatal,F
39,HBB,ONT11_386_213,47.48799931,Postnatal,F
34,HBB,ONT11_386_213,31.97823047,Postnatal,F
6,HBB,ONT11_386_213,10.27276164,Prenatal,F
38,HBB,ONT11_386_213,1.398312491,Postnatal,F
28,HBB,ONT11_386_213,1.467595695,Prenatal,M
2,HBB,ONT11_386_213,4.165013381,Prenatal,F
20,HBB,ONT11_386_213,25.30594023,Postnatal,F
31,HBB,ONT11_386_213,2.797246687,Prenatal,M
3,HBB,ONT11_386_213,14.07647543,Prenatal,M
16,HBB,ONT11_386_213,3.83378004,Prenatal,M
36,HBB,ONT11_386_213,47.418419,Prenatal,F
24,HBB,ONT11_386_213,2.134483228,Postnatal,M
40,HBB,ONT11_386_213,6.840273935,Postnatal,M
38,NDUFB5,ONT3_8758_9018,2.796624983,Postnatal,F
7,NDUFB5,ONT3_8758_9018,6.347172715,Prenatal,F
19,NDUFB5,ONT3_8758_9018,37.91846733,Postnatal,M
42,NDUFB5,ONT3_8758_9018,0,Prenatal,F
29,NDUFB5,ONT3_8758_9018,0,Prenatal,F
12,NDUFB5,ONT3_8758_9018,0,Prenatal,F
21,NDUFB5,ONT3_8758_9018,5.677672481,Postnatal,M
22,NDUFB5,ONT3_8758_9018,6.950428066,Postnatal,M
17,NDUFB5,ONT3_8758_9018,1.431685943,Prenatal,M
26,NDUFB5,ONT3_8758_9018,0,Prenatal,F
37,NDUFB5,ONT3_8758_9018,7.373878215,Postnatal,M
8,NDUFB5,ONT3_8758_9018,0,Prenatal,M
15,NDUFB5,ONT3_8758_9018,0,Prenatal,F
30,NDUFB5,ONT3_8758_9018,0,Postnatal,F
4,NDUFB5,ONT3_8758_9018,0.408515229,Prenatal,M
45,NDUFB5,ONT3_8758_9018,0,Postnatal,M
23,NDUFB5,ONT3_8758_9018,0.812087557,Postnatal,F
34,NDUFB5,ONT3_8758_9018,0,Postnatal,F
6,NDUFB5,ONT3_8758_9018,5.136380821,Prenatal,F
27,NDUFB5,ONT3_8758_9018,0,Prenatal,F
11,NDUFB5,ONT3_8758_9018,0,Prenatal,F
18,NDUFB5,ONT3_8758_9018,0,Postnatal,F
1,NDUFB5,ONT3_8758_9018,0,Prenatal,M
44,NDUFB5,ONT3_8758_9018,0,Postnatal,F
31,NDUFB5,ONT3_8758_9018,0,Prenatal,M
5,NDUFB5,ONT3_8758_9018,3.639201672,Prenatal,M
24,NDUFB5,ONT3_8758_9018,2.134483228,Postnatal,M
20,NDUFB5,ONT3_8758_9018,34.44419642,Postnatal,F
9,NDUFB5,ONT3_8758_9018,0.6553435,Prenatal,F
39,NDUFB5,ONT3_8758_9018,1.826461512,Postnatal,F
46,NDUFB5,ONT3_8758_9018,92.95475316,Postnatal,M
16,NDUFB5,ONT3_8758_9018,0,Prenatal,M
35,NDUFB5,ONT3_8758_9018,0.503745576,Prenatal,F
41,NDUFB5,ONT3_8758_9018,0,Postnatal,F
32,NDUFB5,ONT3_8758_9018,0,Prenatal,F
2,NDUFB5,ONT3_8758_9018,1.8931879,Prenatal,F
28,NDUFB5,ONT3_8758_9018,0,Prenatal,M
36,NDUFB5,ONT3_8758_9018,0,Prenatal,F
47,NDUFB5,ONT3_8758_9018,26.03388206,Postnatal,M
14,NDUFB5,ONT3_8758_9018,0,Prenatal,M
43,NDUFB5,ONT3_8758_9018,0,Postnatal,F
10,NDUFB5,ONT3_8758_9018,0,Prenatal,M
3,NDUFB5,ONT3_8758_9018,1.407647543,Prenatal,M
25,NDUFB5,ONT3_8758_9018,0,Postnatal,M
33,NDUFB5,ONT3_8758_9018,0,Prenatal,F
40,NDUFB5,ONT3_8758_9018,51.30205452,Postnatal,M
13,NDUFB5,ONT3_8758_9018,0,Prenatal,M
4,PCSK1,ONT5_6069_349,0,Prenatal,M
23,PCSK1,ONT5_6069_349,0,Postnatal,F
1,PCSK1,ONT5_6069_349,1.233264643,Prenatal,M
8,PCSK1,ONT5_6069_349,0,Prenatal,M
35,PCSK1,ONT5_6069_349,0,Prenatal,F
7,PCSK1,ONT5_6069_349,0,Prenatal,F
12,PCSK1,ONT5_6069_349,0,Prenatal,F
14,PCSK1,ONT5_6069_349,0,Prenatal,M
13,PCSK1,ONT5_6069_349,0,Prenatal,M
40,PCSK1,ONT5_6069_349,74.10296763,Postnatal,M
22,PCSK1,ONT5_6069_349,3.861348926,Postnatal,M
32,PCSK1,ONT5_6069_349,9.00532153,Prenatal,F
11,PCSK1,ONT5_6069_349,0,Prenatal,F
46,PCSK1,ONT5_6069_349,65.96788934,Postnatal,M
42,PCSK1,ONT5_6069_349,2.206112223,Prenatal,F
20,PCSK1,ONT5_6069_349,42.17656704,Postnatal,F
38,PCSK1,ONT5_6069_349,3.495781229,Postnatal,F
47,PCSK1,ONT5_6069_349,26.5762546,Postnatal,M
44,PCSK1,ONT5_6069_349,0,Postnatal,F
29,PCSK1,ONT5_6069_349,0.38152756,Prenatal,F
37,PCSK1,ONT5_6069_349,6.452143438,Postnatal,M
28,PCSK1,ONT5_6069_349,0,Prenatal,M
24,PCSK1,ONT5_6069_349,3.201724842,Postnatal,M
27,PCSK1,ONT5_6069_349,0,Prenatal,F
34,PCSK1,ONT5_6069_349,0,Postnatal,F
18,PCSK1,ONT5_6069_349,0,Postnatal,F
30,PCSK1,ONT5_6069_349,0,Postnatal,F
5,PCSK1,ONT5_6069_349,3.639201672,Prenatal,M
45,PCSK1,ONT5_6069_349,0,Postnatal,M
39,PCSK1,ONT5_6069_349,1.826461512,Postnatal,F
3,PCSK1,ONT5_6069_349,4.22294263,Prenatal,M
25,PCSK1,ONT5_6069_349,1.09179723,Postnatal,M
19,PCSK1,ONT5_6069_349,38.74278184,Postnatal,M
36,PCSK1,ONT5_6069_349,0,Prenatal,F
9,PCSK1,ONT5_6069_349,1.63835875,Prenatal,F
26,PCSK1,ONT5_6069_349,3.761580719,Prenatal,F
15,PCSK1,ONT5_6069_349,0,Prenatal,F
31,PCSK1,ONT5_6069_349,0,Prenatal,M
16,PCSK1,ONT5_6069_349,0,Prenatal,M
33,PCSK1,ONT5_6069_349,0,Prenatal,F
10,PCSK1,ONT5_6069_349,12.96191738,Prenatal,M
17,PCSK1,ONT5_6069_349,0,Prenatal,M
43,PCSK1,ONT5_6069_349,0.348749759,Postnatal,F
21,PCSK1,ONT5_6069_349,0.946278747,Postnatal,M
6,PCSK1,ONT5_6069_349,5.136380821,Prenatal,F
41,PCSK1,ONT5_6069_349,0,Postnatal,F
2,PCSK1,ONT5_6069_349,1.8931879,Prenatal,F
47,NT5E,ONT6_4654_655,22.23727426,Postnatal,M
38,NT5E,ONT6_4654_655,30.76287481,Postnatal,F
8,NT5E,ONT6_4654_655,0,Prenatal,M
20,NT5E,ONT6_4654_655,29.52359693,Postnatal,F
34,NT5E,ONT6_4654_655,0,Postnatal,F
9,NT5E,ONT6_4654_655,0.32767175,Prenatal,F
17,NT5E,ONT6_4654_655,0,Prenatal,M
2,NT5E,ONT6_4654_655,0,Prenatal,F
45,NT5E,ONT6_4654_655,23.66378473,Postnatal,M
14,NT5E,ONT6_4654_655,0,Prenatal,M
41,NT5E,ONT6_4654_655,0,Postnatal,F
4,NT5E,ONT6_4654_655,0.204257614,Prenatal,M
7,NT5E,ONT6_4654_655,0,Prenatal,F
16,NT5E,ONT6_4654_655,0,Prenatal,M
5,NT5E,ONT6_4654_655,0,Prenatal,M
40,NT5E,ONT6_4654_655,11.40045656,Postnatal,M
32,NT5E,ONT6_4654_655,0,Prenatal,F
13,NT5E,ONT6_4654_655,0,Prenatal,M
39,NT5E,ONT6_4654_655,0,Postnatal,F
26,NT5E,ONT6_4654_655,1.88079036,Prenatal,F
6,NT5E,ONT6_4654_655,0,Prenatal,F
36,NT5E,ONT6_4654_655,0,Prenatal,F
43,NT5E,ONT6_4654_655,0.348749759,Postnatal,F
18,NT5E,ONT6_4654_655,0,Postnatal,F
27,NT5E,ONT6_4654_655,0,Prenatal,F
3,NT5E,ONT6_4654_655,0,Prenatal,M
19,NT5E,ONT6_4654_655,3.297258029,Postnatal,M
23,NT5E,ONT6_4654_655,0,Postnatal,F
1,NT5E,ONT6_4654_655,2.466529285,Prenatal,M
10,NT5E,ONT6_4654_655,1.851702483,Prenatal,M
12,NT5E,ONT6_4654_655,0,Prenatal,F
35,NT5E,ONT6_4654_655,0.503745576,Prenatal,F
21,NT5E,ONT6_4654_655,13.72104183,Postnatal,M
46,NT5E,ONT6_4654_655,11.9941617,Postnatal,M
33,NT5E,ONT6_4654_655,0,Prenatal,F
31,NT5E,ONT6_4654_655,0,Prenatal,M
28,NT5E,ONT6_4654_655,0,Prenatal,M
22,NT5E,ONT6_4654_655,4.633618711,Postnatal,M
29,NT5E,ONT6_4654_655,0,Prenatal,F
15,NT5E,ONT6_4654_655,0,Prenatal,F
42,NT5E,ONT6_4654_655,2.206112223,Prenatal,F
24,NT5E,ONT6_4654_655,0.533620807,Postnatal,M
30,NT5E,ONT6_4654_655,1.011616019,Postnatal,F
37,NT5E,ONT6_4654_655,2.765204331,Postnatal,M
11,NT5E,ONT6_4654_655,0,Prenatal,F
25,NT5E,ONT6_4654_655,0,Postnatal,M
44,NT5E,ONT6_4654_655,0,Postnatal,F
1,EPDR1,ONT7_1347_370,4.933058571,Prenatal,M
37,EPDR1,ONT7_1347_370,67.51707241,Postnatal,M
8,EPDR1,ONT7_1347_370,0,Prenatal,M
25,EPDR1,ONT7_1347_370,17.46875568,Postnatal,M
17,EPDR1,ONT7_1347_370,8.590115659,Prenatal,M
5,EPDR1,ONT7_1347_370,29.11361338,Prenatal,M
